Tarih,TP DK USD A YTL,
04-12-2021,,
05-12-2021,,
06-12-2021,13.68,
07-12-2021,13.77,
08-12-2021,13.67,
09-12-2021,13.62,
10-12-2021,13.74,
11-12-2021,,
12-12-2021,,
13-12-2021,13.83,
14-12-2021,14.25,
15-12-2021,14.17,
16-12-2021,14.64,
17-12-2021,15.21,
18-12-2021,,
19-12-2021,,
20-12-2021,16.34,
21-12-2021,17.47,
22-12-2021,13.02,
23-12-2021,12.45,
24-12-2021,11.45,
25-12-2021,,
26-12-2021,,
27-12-2021,11.73,
28-12-2021,11.39,
29-12-2021,11.83,
30-12-2021,12.22,
31-12-2021,12.98,
01-01-2022,,
02-01-2022,,
03-01-2022,13.33,
04-01-2022,13.42,
05-01-2022,13.19,
06-01-2022,13.37,
07-01-2022,13.64,
08-01-2022,,
09-01-2022,,
10-01-2022,13.75,
11-01-2022,13.72,
12-01-2022,13.73,
13-01-2022,13.72,
14-01-2022,13.54,
15-01-2022,,
16-01-2022,,
17-01-2022,13.51,
18-01-2022,13.48,
19-01-2022,13.51,
20-01-2022,13.57,
21-01-2022,13.44,
22-01-2022,,
23-01-2022,,
24-01-2022,13.40,
25-01-2022,13.38,
26-01-2022,13.50,
27-01-2022,13.50,
28-01-2022,13.59,
29-01-2022,,
30-01-2022,,
31-01-2022,13.61,
01-02-2022,13.40,
02-02-2022,13.37,
03-02-2022,13.43,
04-02-2022,13.55,
05-02-2022,,
06-02-2022,,
07-02-2022,13.53,
08-02-2022,13.54,
09-02-2022,13.62,
10-02-2022,13.57,
11-02-2022,13.53,
12-02-2022,,
13-02-2022,,
14-02-2022,13.49,
15-02-2022,13.54,
16-02-2022,13.60,
17-02-2022,13.62,
18-02-2022,13.60,
19-02-2022,,
20-02-2022,,
21-02-2022,13.61,
22-02-2022,13.61,
23-02-2022,13.74,
24-02-2022,13.78,
25-02-2022,14.23,
26-02-2022,,
27-02-2022,,
28-02-2022,14.04,
01-03-2022,13.83,
02-03-2022,13.89,
03-03-2022,14.04,
04-03-2022,14.11,
05-03-2022,,
06-03-2022,,
07-03-2022,14.18,
08-03-2022,14.30,
09-03-2022,14.47,
10-03-2022,14.61,
11-03-2022,14.74,
12-03-2022,,
13-03-2022,,
14-03-2022,14.90,
15-03-2022,14.76,
16-03-2022,14.75,
17-03-2022,14.68,
18-03-2022,14.67,
19-03-2022,,
20-03-2022,,
21-03-2022,14.76,
22-03-2022,14.82,
23-03-2022,14.80,
24-03-2022,14.81,
25-03-2022,14.82,
26-03-2022,,
27-03-2022,,
28-03-2022,14.81,
29-03-2022,14.82,
30-03-2022,14.79,
31-03-2022,14.65,
01-04-2022,14.64,
02-04-2022,,
03-04-2022,,
04-04-2022,14.66,
05-04-2022,14.69,
06-04-2022,14.70,
07-04-2022,14.72,
08-04-2022,14.73,
09-04-2022,,
10-04-2022,,
11-04-2022,14.72,
12-04-2022,14.72,
13-04-2022,14.66,
14-04-2022,14.56,
15-04-2022,14.59,
16-04-2022,,
17-04-2022,,
18-04-2022,14.62,
19-04-2022,14.63,
